SEKOLAH JENIS KEBANGSAAN (TAMIL) BUKIT FRASER,CBD6043,null
SEKOLAH MENENGAH KEBANGSAAN SERI RAUB,CEA6025,null
SEKOLAH MENENGAH KEBANGSAAN DATO SHAHBANDAR HUSSIN,CEB6027,null
SEKOLAH MENENGAH KEBANGSAAN (P) METHODIST,CEB6028,null
SEKOLAH KEBANGSAAN CHENGAL LEMPONG,CBA4114,null
SEKOLAH MENENGAH KEBANGSAAN CHENGAL LEMPONG,CEA4100,null
SEKOLAH KEBANGSAAN BALOK MAKMUR,CBA4101,null
SEKOLAH KEBANGSAAN KAMPONG PADANG,CBA4008,null
SEKOLAH KEBANGSAAN AIR PUTIH,CBA4097,null
SEKOLAH KEBANGSAAN SUNGAI BAGING,CBA4103,null
SEKOLAH KEBANGSAAN PENGKALAN TENTERA,CBB4030,null
SEKOLAH MENENGAH KEBANGSAAN PANDAN,CEA4078,null
SEKOLAH MENENGAH KEBANGSAAN GUDANG RASAU,CEA4082,null
SEKOLAH MENENGAH KEBANGSAAN BUKIT SAGU,CEA4097,null
SEKOLAH KEBANGSAAN NADAK,CBA4020,null
SEKOLAH KEBANGSAAN SG. MAS (JHEOA),CBA4087,null
SEKOLAH KEBANGSAAN WIRA,CBA4090,null
SEKOLAH KEBANGSAAN SUNGAI SOI,CBA4104,null
SEKOLAH KEBANGSAAN PELINDUNG,CBA4107,null
SEKOLAH KEBANGSAAN SUNGAI ISAP MURNI,CBA4109,null
SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG JERAM,CBD4052,null
SEKOLAH MENENGAH KEBANGSAAN SEMAMBU,CEA4084,null
SEKOLAH MENENGAH KEBANGSAAN SUNGAI SOI,CEA4089,null
SEKOLAH MENENGAH KEBANGSAAN TELUK CHEMPEDAK,CEA4093,null
SEKOLAH MENENGAH KEBANGSAAN PELINDUNG,CEA4094,null
SEKOLAH MENENGAH KEBANGSAAN PADANG GARUDA,CEA4096,null
SEKOLAH KEBANGSAAN TERUNTUM,CBA4001,null
SEKOLAH KEBANGSAAN BESERAH,CBA4003,null
SEKOLAH KEBANGSAAN PANCHING,CBA4009,null
SEKOLAH KEBANGSAAN CHEROK PALOH,CBA4017,null
SEKOLAH KEBANGSAAN (LKTP) BUKIT GOH,CBA4021,null
SEKOLAH KEBANGSAAN (FELDA) SUNGAI PANCHING UTARA,CBA4065,null
SEKOLAH KEBANGSAAN (FELDA) SG PANCHING SELATAN,CBA4066,null
SEKOLAH KEBANGSAAN (FELDA) BT KUANTAN,CBA4072,null
SEKOLAH KEBANGSAAN (FELDA) SG PANCHING TIMUR,CBA4075,null
SEKOLAH KEBANGSAAN BUKIT SEKILAU,CBA4076,null
SEKOLAH KEBANGSAAN BUKIT KUIN,CBA4077,null
SEKOLAH KEBANGSAAN GAMBANG,CBA4081,null
SEKOLAH KEBANGSAAN PENDIDIKAN KHAS KUANTAN,CBA4082,null
SEKOLAH KEBANGSAAN SEMAMBU,CBA4086,null
SEKOLAH KEBANGSAAN SERI MAHKOTA,CBA4095,null
SEKOLAH KEBANGSAAN BUKIT SETONGKOL,CBA4102,null
SEKOLAH KEBANGSAAN TUNKU AZIZAH,CBA4105,null
SEKOLAH KEBANGSAAN PAYA BUNGOR,CBA4112,null
SEKOLAH KEBANGSAAN SERI MELATI,CBA4113,null
