SEKOLAH KEBANGSAAN LANEH,ABA4029
SEKOLAH KEBANGSAAN PEREMPUAN,ABA4030
SEKOLAH KEBANGSAAN KARAI,ABA4031
SEKOLAH KEBANGSAAN SUNGAI SIPUT (U),ABA4032
SEKOLAH KEBANGSAAN TROSOR,ABA4033
SEKOLAH KEBANGSAAN LASAH,ABA4034
SEKOLAH KEBANGSAAN RKT LASAH,ABA4035
SEKOLAH KEBANGSAAN JAWANG,ABA4036
SEKOLAH KEBANGSAAN PERIANG,ABA4037
SEKOLAH KEBANGSAAN TEMIN,ABA4038
SEKOLAH KEBANGSAAN JALONG,ABA4039
SEKOLAH KEBANGSAAN TEMONG,ABA4040
SEKOLAH KEBANGSAAN CHEGAR GALAH,ABA4041
SEKOLAH KEBANGSAAN LINTANG,ABA4042
SEKOLAH KEBANGSAAN KAMPUNG MAAMOR,ABA4043
SEKOLAH KEBANGSAAN ULU RIBU,ABA4044
SEKOLAH KEBANGSAAN SEROLI,ABA4045
SEKOLAH KEBANGSAAN JENALIK,ABA4046
SEKOLAH KEBANGSAAN CHENEIN,ABA4047
SEKOLAH KEBANGSAAN PERLOP 1,ABA4048
SEKOLAH KEBANGSAAN POS POI,ABA4049
SEKOLAH KEBANGSAAN POS PERWOR,ABA4050
SEKOLAH KEBANGSAAN POS LEGAP,ABA4051
SEKOLAH KEBANGSAAN POS PIAH,ABA4052
SEKOLAH KEBANGSAAN KAMPUNG KENANG,ABA4053
SEKOLAH KEBANGSAAN POS KUALA MU,ABA4054
SEKOLAH KEBANGSAAN POS SUNGAI PELANTOK,ABA4055
SEKOLAH KEBANGSAAN RAJA MUDA MUSA,ABA4056
SEKOLAH KEBANGSAAN KAMPUNG MUHIBAH,ABA4057
SEKOLAH KEBANGSAAN KAMPUNG NASIB,ABA4058
SEKOLAH KEBANGSAAN KUMPULAN GANDA,ABA5001
SEKOLAH KEBANGSAAN SULTAN IDRIS 2,ABA5002
SEKOLAH KEBANGSAAN SERI INTAN,ABA5003
SEKOLAH KEBANGSAAN SELABAK,ABA5004
SEKOLAH KEBANGSAAN CHANGKAT JONG,ABA5005
SEKOLAH KEBANGSAAN AYER HITAM,ABA5006
SEKOLAH KEBANGSAAN TEBOK BANJAR,ABA5007
SEKOLAH KEBANGSAAN SUNGAI DURIAN,ABA5008
SEKOLAH KEBANGSAAN DATO' LAKSAMANA RAJA MAHKOTA,ABA5009
SEKOLAH KEBANGSAAN TELUK BIRAH,ABA5012
SEKOLAH KEBANGSAAN SUNGAI RUSA,ABA5014
SEKOLAH KEBANGSAAN SUNGAI JEJAWI,ABA5015
SEKOLAH KEBANGSAAN DATO' YAHYA SUBBAN,ABA5060
SEKOLAH KEBANGSAAN SUNGAI TUNGKU,ABA5061
SEKOLAH KEBANGSAAN CHIKUS,ABA5062
SEKOLAH KEBANGSAAN PERMATANG,ABA5063
SEKOLAH KEBANGSAAN SG LAMPAM,ABA5064
SEKOLAH KEBANGSAAN SUNGAI TUKANG SIDIN,ABA5065
SEKOLAH KEBANGSAAN SERI LANGKAP,ABA5066
SEKOLAH KEBANGSAAN PEKAN RABU,ABA5067
SEKOLAH KEBANGSAAN PERMATANG PELANDOK,ABA5068
SEKOLAH KEBANGSAAN DEGONG,ABA5069
SEKOLAH KEBANGSAAN PENGKALAN ARA,ABA5070
SEKOLAH KEBANGSAAN SUNGAI KERAWAI,ABA5071
SEKOLAH KEBANGSAAN KAMPUNG BAHARU REDANG PONGGOR,ABA5072
SEKOLAH KEBANGSAAN KAMPUNG BAHAGIA,ABA5073
SEKOLAH KEBANGSAAN SERI SETIA,ABA5074
SEKOLAH KEBANGSAAN RAJA MUDA MUSA,ABA5075
SEKOLAH KEBANGSAAN PERWIRA,ABA5077
SEKOLAH KEBANGSAAN ST.ANTHONY,ABA5078
SEKOLAH KEBANGSAAN LONG JAAFAR,ABA6001
SEKOLAH KEBANGSAAN ASAM KUMBANG,ABA6002
SEKOLAH KEBANGSAAN LAKSAMANA,ABA6003
SEKOLAH KEBANGSAAN MATANG,ABA6004
SEKOLAH KEBANGSAAN NGAH IBRAHIM,ABA6005
SEKOLAH KEBANGSAAN MATANG GELUGUR,ABA6006
SEKOLAH KEBANGSAAN SIMPANG,ABA6007
SEKOLAH KEBANGSAAN SULTAN YUSSUF AMDR,ABA6008
SEKOLAH KEBANGSAAN TAIPING,ABA6009
SEKOLAH KEBANGSAAN SERI AMAN,ABA6010
SEKOLAH KEBANGSAAN CHANGKAT LARUT,ABA6011
SEKOLAH KEBANGSAAN BENDANG SIAM,ABA6012
SEKOLAH KEBANGSAAN TOH JOHAN,ABA6013
SEKOLAH KEBANGSAAN TEMELOK,ABA6014
SEKOLAH KEBANGSAAN PADANG GAJAH,ABA6015
SEKOLAH KEBANGSAAN SUNGAI TINGGI,ABA6016
SEKOLAH KEBANGSAAN BATU HAMPAR,ABA6017
SEKOLAH KEBANGSAAN CHANGKAT JERING,ABA6018
SEKOLAH KEBANGSAAN JELUTONG,ABA6019
SEKOLAH KEBANGSAAN DATO' PANGLIMA BKT GANTANG,ABA6020
SEKOLAH KEBANGSAAN CHANGKAT IBUL,ABA6021
SEKOLAH KEBANGSAAN SULTAN ABDULLAH,ABA6022
SEKOLAH KEBANGSAAN TOH SAJAK,ABA6023
SEKOLAH KEBANGSAAN KAMPONG PERAK,ABA6024
